English,Portugese,French,Spanish,Indonesian
Derivative options ,,,Opciones derivadas,
Derivative ,,,Derivados,
Synthetic indices,,,Índices sintéticos,
Options / Binary options / Digital options,,,Opciones / Opciones binarias / Opciones digitales,
Multipliers,,,Multiplicadores,
Margin,,,Margen,
Margin requirement,,,Requisito de margen,
Contract for difference (CFD),,,Contrato por diferencia (CFD),
Tick,,,Tick,
Spread,,,Spread,
Affiliate ,,,Afiliado,
Bear market ,,,Mercado bajista,
Bid price ,,,Precio de oferta,
Bull market,,,Mercado alcista,
Bullish,,,Alcista,
Bearish,,,Bajista,
Opening price,,,Precio de apertura,
Closing price,,,Precio de cierre,
Counterparty ,,,Contraparte,
Ask / Offer price,,,Precio de venta / oferta,
Stake,,,Inversión,
Payout,,,Pago,
Spot price,,,Precio spot,
Entry spot,,,Spot de entrada,
Exit spot ,,,Spot de salida,
Open (Candlestick chart),,,Apertura (gráfico de velas),
Close (Candlestick chart) ,,,Cierre (gráfico de velas),
High (Candlestick chart) ,,,Máximo (gráfico de velas),
Low (Candlestick chart),,,Mínimo (gráfico de velas),
Forex  ,,,Forex,
Major pairs ,,,Pares mayotes,
Smart FX,,,Smart FX,
Exotic pairs,,,Pares exóticos,
Smart Gold Index,,,Índice Smart Gold,
Stocks,,,Acciones,
Commodities,,,Materias primas,
Profit table ,,,Tabla de beneficios,
Cashier,,,Cajero,
API token,,,Token API,
Take profit,,,Take profit,
Stop loss,,,Stop loss,
Deriv peer to peer (DP2P),,,Deriv peer-to-peer (DP2P),
Smart Trader,,,Smart Trader,
DTrader,,,DTrader,
Deriv GO,,,Deriv GO,
Deriv X,,,Deriv X,
Binary Bot,,,Binary Bot,
DBot,,,DBot,
Ticktrade App,,,Ticktrade App,
MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,,,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,
Introducing broker (IB),,,Bróker introductor (IB),
Spot exchange rate,,,Tasa de cambio al contado (spot),
Lookback,,,Retroactivo,
Crash/Boom,,,Crash/Boom,
Range Break,,,Range Break,
Step indices,,,Índices step,
Swap charges,,,Cargos swap,
Over-the-counter / over the counter (OTC),,,Extrabursátil (OTC),
Deriv API,,,API Deriv,
Contracts,,,Contratos,
Call/Put Spreads,,,Call/Put Spreads,
Cryptocurrency trading,,,Operaciones con criptomonedas,
Cryptocurrency ,,,Criptomonedas,
Leverage,,,Apalancamiento,
Liquidity provider (LP),,,Proveedor de liquidez (PL),
Minor pairs,,,Pares menores,
Basket indices,,,Cesta de índices,
Base currency,,,Moneda base,
Quote currency,,,Moneda de cotización,
Barrier,,,Barrera,
Duration,,,Duración,
Pip,,,Pip,
DMT5 signals,,,Señales DMT5,
Signal provider,,,Proveedor de señales,
Signal subscriber,,,Suscriptor de señal,
Go long,,,Ir en largo,
Go short,,,Ir en corto,
Demo account,,,Cuenta demo,
Real account,,,Cuenta real,
Asset,,,Activo,
Sell price,,,Precio de venta,
Market price,,,Precio de mercado,
Buy price,,,Precio de compra,
Equity,,,Capital,
Open positions,,,Posiciones abiertas,
Liquidity risks,,,Riesgos de liquidez,
Undelying asset,,,Activo subyacente,
Up/Down,,,Arriba/Abajo,
In/Out,,,Dentro/Fuera,
Digits,,,Dígitos,
Reset Call/Reset Put,,,Reset Call/Reset Put,
High/Low Ticks,,,Ticks altos/bajos,
Touch/No Touch,,,Toca/No Toca,
Trading platform,,,Plataforma de operaciones,
Market,,,Mercado,
Stock indices,,,Índices bursátiles,
Trade type,,,Tipo de operación,
Mobile trading,,,Trading con móvil,
Point,,,Punto,
Fundamental analysis,,,Análisis fundamental,
Technical analysis,,,Anáisis técnico,
Day trading,,,Operaciones diurnas,
Intraday,,,Intradía,
Automated trading,,,Operaciones automatizadas,
Trade,,,Operar,
Broker,,,Bróker,
Contract,,,Contrato,
Market price,,,Precio de mercado,
Altcoin,,,Altcoin,
All-time low (ATL),,,Mínimo histórico (ATL),
All-time high (ATH),,,Máximo histórico (ATH),
Virtual funds,,,Fondos virtuales,
Payment methods,,,Métodos de pago,
Blockchain,,,Blockchain,
Verification,,,Verificación,
Deal cancellation,,,Cancelación del contrato,
Non-refundable fee,,,Tarifa no reembolsable,
Loss,,,Pérdida,
Net loss,,,Pérdida neta,
Volatile,,,Volátil,
Liquidity,,,Liquidez,
Payment agent,,,Agente de pago,
Weighted,,,Ponderada,
Downtrend,,,Tendencia a la baja,
Flip,,,Cambio,
Resistance level,,,Nivel de resistencia,
Scalping,,,Scalping,
Position trading,,,Position trading,
Swing trading,,,Swing trading,
Volatility,,,Volatilidad,
Trading plan,,,Plan de operaciones,
Trading journal,,,Diario de operaciones,
