en,pt,fr,es,id,vi,it,ru
Derivative options ,Opções derivadas,Options dérivées,Opciones derivadas,Opsi derivatif,Derivative options ,Opzioni derivate,Деривативные опционы
Derivative ,Derivado,Derivé,Derivados,Derivatif,Derivative ,Derivati,Дериватив
Synthetic indices,Índices Sintéticos,Indices synthétiques,Índices sintéticos,Indeks Sintetis,Synthetic indices,Indici Sintetici,Синтетические индексы
Options / Binary options / Digital options,Opções / Opções Binárias / Opções Digitais,Options / Options binaires / Options digitales,Opciones / Opciones binarias / Opciones digitales,Opsi/Opsi Binary/Opsi Digital,Options / Binary options / Digital options,Opzioni / Opzioni binarie / Opzioni digitali,Опционы / Бинарные опционы / Цифровые опционы
Multipliers,Multiplicadores,Multiplicateurs,Multiplicadores,Multiplier,Multipliers,Moltiplicatori,Мультипликаторы
Margin,Margem,Marge,Margen,Margin,Margin,Margine,Маржа
Margin requirement,Requerimento de margem,Marge requise,Requisito de margen,Persyaratan margin,Margin requirement,Requisito di margine,Маржевое требование
Contract for difference (CFD),Contrato por diferença ,Contrat sur la différence,Contrato por diferencia (CFD),Kontrak untuk perbedaan (DFD),Contract for difference (CFD),Contratto per differenza,Контракт на разницу
Tick,Tick,Tick,Tick,Tik,Tick,Tick,Тик
Spread,Spread,Spread,Spread,Spread,Spread,Spread,Спред
Affiliate ,Afiliados,Affilié,Afiliado,Afiliasi,Affiliate ,Associato,Партнер
Bear market ,Bear Market,Marché baissier,Mercado bajista,Market bear,Bear market ,Mercato ribassista,Медвежий рынок
Bid price ,Preço Bid,Prix de l'offre ,Precio de compra,Harga bid,Bid price ,Prezzo dell'offerta,Цена бид
Bull market,Bull Market,Marché haussier,Mercado alcista,Market bull,Bull market,Mercato rialzista,Бычий рынок
Bullish,Bullish,Haussier,Alcista,Bullish,Bullish,Rialzista,Бычий
Bearish,Bearish,Baissier,Bajista,Bearish,Bearish,Ribassista,Медвежий
Opening price,Preço de abertura,Prix d'ouverture,Precio de apertura,Harga pembukaan,Opening price,Prezzo di apertura,Цена открытия
Closing price,Preço de fechamento,Prix de clôture,Precio de cierre,Harga penutupan,Closing price,Prezzo di chiusura,Цена закрытия
Counterparty ,Contraparte,Contrepartie,Contraparte,Mitra pengimbang,Counterparty ,Controparte,Контрагент
Ask / Offer price,Preços de venda / oferta,Prix de vente / offre,Precio de venta / oferta,Harga permintaan/penawaran,Ask / Offer price,Prezzo di Acquista / Offerta,Цена Аск / Оффер
Stake,Entrada,Investissement,Inversión,Modal,Stake,Puntata,Ставка
Payout,Retorno,Paiement,Pago,Hasil,Payout,Payout,Выплата
Spot price,Preço do ponto,Prix spot,Precio spot,Harga spot,Spot price,Prezzo spot,Спот-цена
Entry spot,Preço de entrada,Spot d'entrée,Spot de entrada,Spot awal,Entry spot,Spot d'entrata,Точка входа
Exit spot ,Preço de saída,Spot de sortie,Spot de salida,Spot akhir,Exit spot ,Spot d'uscita,Точка выхода
Open (Candlestick chart),Abertura (gráfico de velas),Ouverture (Graphique de chandelier),Apertura (gráfico de velas),Buka (grafik candlestick),Open (Candlestick chart),Apertura (Grafico a candele),Открытие (Свечной график)
Close (Candlestick chart) ,Fechamento (gráfico de velas),Fermeture (Graphique de chandelier),Cierre (gráfico de velas),Tutup (grafik candlestick),Close (Candlestick chart) ,Chiusura (Grafico a candele),Закрытие (Свечной график)
High (Candlestick chart) ,Alto (gráfico de velas),Supérieur (Graphique de chandelier),Máximo (gráfico de velas),Tinggi (grafik candlestick),High (Candlestick chart) ,Massimo (Grafico a candele),Макс. (Свечной график)
Low (Candlestick chart),Baixo (gráfico de velas),Inférieur (Graphique de chandelier),Mínimo (gráfico de velas),Rendah (grafik candlestick),Low (Candlestick chart),Minimo (Grafico a candele),Мин. (Свечной график)
Forex  ,Forex,Forex,Forex,Forex,Forex  ,Forex,Forex
Major pairs ,Pares principais,Paires majeures,Pares mayores,Pasangan mayor,Major pairs ,Coppie maggiore,Основные пары
Smart FX,Smart FX,Smart FX,Smart FX,Smart FX,Smart FX,Smart FX,Smart FX
Exotic pairs,Pares exóticos,Paires exotiques,Pares exóticos,Pasangan eksotis,Exotic pairs,Coppie esotiche,Экзотические пары
Smart Gold Index,Índice Smart Gold,Indice Smart Gold,Índice Smart Gold,Indeks Smart Gold,Smart Gold Index,Indice Smart Gold,Индекс Smart Gold
Stocks,Ações,Actions,Acciones,Saham,Stocks,Azioni,Акции
Commodities,Matérias primas,Matières premières,Materias primas,Komoditas,Commodities,Materie prime,Сырьевые товары
Profit table ,Tabela de lucro,Tableau des bénéfices ,Tabla de ganancias,Tabel keuntungan ,Profit table ,Tabella dei profitti,Анализ счета
Cashier,Caixa,Caisse,Cajero,Kasir,Cashier,Cassa,Касса
API token,Token API,Token API,Token API,Token API,API token,Token API,Токен API
Take profit,Take profit,Take profit,Take profit,Batas keuntungan,Take profit,Take profit,Тейк профит
Stop loss,Stop loss,Stop loss,Stop loss,Batas kerugian,Stop loss,Stop loss,Стоп лосс
Deriv peer to peer (DP2P),Deriv peer to peer (DP2P),Deriv peer to peer (DP2P),Deriv peer-to-peer (DP2P),Deriv peer-to-peer (DP2P),Deriv peer to peer (DP2P),Deriv peer-to-peer (DP2P),Deriv peer to peer (DP2P)
Smart Trader,Smart Trader,Smart Trader,Smart Trader,Smart Trader,Smart Trader,Smart Trader,Smart Trader
DTrader,DTrader,DTrader,DTrader,DTrader,DTrader,DTrader,DTrader
Deriv GO,Deriv GO,Deriv GO,Deriv GO,Deriv GO,Deriv GO,Deriv GO,Deriv GO
Deriv X,Deriv X,Deriv X,Deriv X,Deriv X,Deriv X,Deriv X,Deriv X
Binary Bot,Binary Bot,Binary Bot,Binary Bot,Binary Bot,Binary Bot,Binary Bot,Binary Bot
DBot,DBot,DBot,DBot,DBot,DBot,DBot,DBot
Ticktrade App,Ticktrade App,Ticktrade App,Ticktrade App,Aplikasi Ticktrade,Ticktrade App,Ticktrade App,Ticktrade App
MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5
Introducing broker (IB),Corretor de Apresentação (IB),Courtage d'introduction (IB),Bróker introductor (IB),Introducing broker (IB),Introducing broker (IB),Introducing broker (IB),Представляющий брокер (ПБ)
Spot exchange rate,Taxa de câmbio (spot),Taux de change spot,Tasa de cambio al contado (spot),Nilai tukar spot,Spot exchange rate,Tassa di cambio spot,Спотовый курс
Lookback,Retroativos,Lookback,Retroactivo,Lookback,Lookback,Opzione retrospettiva (lookback),Lookback
Crash/Boom,Crash/Boom,Crash/Boom,Crash/Boom,Crash/Boom,Crash/Boom,Crash/Boom,Crash/Boom
Range Break,Range Break,Range Break,Range Break,Range Break,Range Break,Range Break,Range Break
Step indices,Índices Step,Step indices,Índices step,Indeks Step,Step indices,Indici step,Индексы Step
Swap charges,Taxa swap,Frais de swap,Cargos swap,Biaya swap,Swap charges,Imposte swap,Свопы
Over-the-counter / over the counter (OTC),Over-the-counter / mercado de balcão (OTC),Over-the-counter / over the counter (OTC),Extrabursátil (OTC),Over-the-counter / over the counter (OTC),Over-the-counter / over the counter (OTC),Over-the-counter / over the counter (OTC),Внебиржевой (m) / Внебиржевая (f) / Внебиржевое (ng) / Внебиржевые (plural)
Deriv API,API Deriv,Deriv API,API Deriv,API Deriv,Deriv API,API Deriv,Deriv API
Contracts,Contratos,Contrats,Contratos,Kontrak,Contracts,Contratti,Контракты
Call/Put Spreads,Call/Put Spread,Call/Put Spreads,Call/Put Spreads,Spread Call/Put,Call/Put Spreads,Call/Put Spread,Колл/Пут спред
Cryptocurrency trading,Negociação de criptomoedas,Trading de cryptomonnaie,Operaciones con criptomonedas,Trading mata uang kripto,Cryptocurrency trading,Trading di criptovalute,Криптовалютный трейдинг
Cryptocurrency ,Criptomoedas,Cryptomonnaie,Criptomonedas,Mata uang kripto,Cryptocurrency ,Criptovalute,Криптовалюта
Leverage,Alavancagem,Levier,Apalancamiento,Leverage,Leverage,Leva finanziaria,Кредитное плечо
Liquidity provider (LP),Provedor de liquidez (LP),Animateur de marché (LP),Proveedor de liquidez (PL),Penyedia likuiditas (LP),Liquidity provider (LP),Fornitore di liquidità,Поставщик ликвидности (ПЛ)
Minor pairs,Pares secundários,Paires mineures,Pares menores,Pasangan minor,Minor pairs,Coppie minori,Минорные пары
basket indices,cesta de índices,Panier d'indices,cesta de índices,Indeks basket,basket indices,Panieri di indici,Валютные индексы
Base currency,Moeda base,Devise de base,Moneda base,Mata uang dasar,Base currency,Valuta base,Базовая валюта
Quote currency,Moeda da cotação,Devise cotée,Moneda de cotización,Mata uang kutipan,Quote currency,Valuta della quotazione,Котируемая валюта
Barrier,Barreira,Barrière,Barrera,Barrier,Barrier,Barriera,Барьер
Duration,Duração,Durée,Duración,Durasi,Duration,Durazione,Длительность
Pip,Pip,Pip,Pip,Pip,Pip,Pip,Пип
DMT5 signals,Sinais DMT5,Signaux DMT5,Señales DMT5,Sinyal DMT5,DMT5 signals,Segnali DMT5,Сигналы DMT5
Signal provider,Provedor de sinal,Fournisseur de signaux,Proveedor de señales,Penyedia sinyal,Signal provider,Fornitore di segnali,Провайдер сигналов
Signal subscriber,Assinante de sinal,Souscripteur du signal,Suscriptor de señal,Pelanggan sinyal,Signal subscriber,Iscritto ai segnali,Подписчик сигналов
